2021-10-20 17:11:09 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 103222 flow
2021-10-20 17:11:30 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 136628 flow
2021-10-20 17:12:32 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141052 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141053 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141053 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141054 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141054 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141055 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141056 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141057 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141058 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141059 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141060 flow
2021-10-20 17:12:33 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141061 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141062 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141063 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141062 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141064 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141065 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141065 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141066 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141067 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141069 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141071 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141076 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141077 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141077 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141077 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141077 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141077 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141085 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141087 flow
2021-10-20 17:13:34 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141095 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141097 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141097 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141097 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141101 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141103 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141103 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141103 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:14:35 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141104 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141116 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141121 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141121 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141121 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141127 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141127 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141126 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141125 flow
2021-10-20 17:16:38 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141126 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141129 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141132 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141133 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141140 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141143 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141143 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141143 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141149 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141151 flow
2021-10-20 17:17:39 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141160 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141170 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141180 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141180 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141179 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141180 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141180 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141180 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141179 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141187 flow
2021-10-20 17:18:41 DEBUG cic.cs.unb.ca.jnetpcap.FlowGenerator    FlagFIN current has 141189 flow
